E sigma
88217.3 0.015329
88224.1 0.015666
88230.8 0.01609
88237.6 0.016607
88244.3 0.017222
88251.9 0.018029
88259.4 0.018971
88266.9 0.020059
88274.4 0.021301
88281.9 0.022708
88289.4 0.02429
88296.9 0.026058
88304.4 0.028026
88311.9 0.030207
88319.4 0.032614
88326.9 0.035264
88334.4 0.038173
88341.9 0.041361
88349.4 0.044846
88356.9 0.048647
88364.4 0.052783
88371.9 0.057279
88379.4 0.06216
88386.9 0.067455
88394.5 0.073195
88402 0.07941
88409.5 0.086137
88417 0.093413
88424.5 0.10128
88432 0.10978
88439.5 0.11896
88447.1 0.12905
88455 0.14034
88462.9 0.15256
88470.8 0.16581
88478.6 0.18016
88486.5 0.19572
88494.1 0.21193
88501.7 0.22947
88509.3 0.24845
88516.8 0.26898
88524.4 0.29121
88532.5 0.31679
88540.7 0.34546
88549 0.37677
88557.2 0.41102
88565.5 0.44848
88573.5 0.48819
88581 0.52876
88588.5 0.57289
88596 0.62098
88603.5 0.67342
88611 0.73067
88618.2 0.79062
88625.4 0.85599
88632.6 0.92733
88639.8 1.0053
88647 1.0906
88654.2 1.1842
88661.4 1.2868
88668.6 1.3996
88675.9 1.5238
88683.1 1.6607
88690.1 1.8076
88696.7 1.96
88703.3 2.1273
88709.9 2.3115
88716.5 2.5144
88723.1 2.7383
88729.1 2.9626
88735.1 3.2088
88741.1 3.4794
88747.1 3.7774
88753.1 4.1058
88758.7 4.443
88764.1 4.7992
88769.5 5.1891
88774.9 5.6164
88780.3 6.0848
88785.7 6.5987
88791.1 7.1625
88796.5 7.781
88801.9 8.4594
88807.4 9.2027
88812.8 10.016
88818.2 10.904
88823.6 11.871
88829 12.921
88834.4 14.053
88839.8 15.268
88845.8 16.709
88854.2 18.859
88871 23.364
88878.4 25.255
88884.8 26.736
88889.6 27.707
88894.4 28.529
88899.2 29.179
88903.6 29.607
88907.8 29.859
88912 29.954
88916.2 29.896
88920.4 29.691
88926 29.205
88931.6 28.506
88937.2 27.634
88945.6 26.088
88956.9 23.785
88970.9 20.853
88979.3 19.183
88987.7 17.624
88996.1 16.193
89004.5 14.893
89012.9 13.72
89021.3 12.666
89029.7 11.721
89038.1 10.874
89046.5 10.114
89053.7 9.5255
89060.9 8.9883
89068.1 8.4974
89075.3 8.048
89082.5 7.636
89089.8 7.2576
89097 6.9093
89104.2 6.5883
89112.2 6.2603
89120.2 5.9593
89132.2 5.5525
89144.2 5.1922
89156.2 4.8715
89168.2 4.5849
89180.8 4.3155
89193.4 4.074
89206 3.8566
89218.6 3.6602
89231.2 3.4822
89245.7 3.2983
89261 3.1223
89276.3 2.9639
89291.6 2.8209
89306.9 2.6911
89317.1 2.6113
89339.1 2.4549
89361.1 2.3167
89383.2 2.1939
89405.2 2.0843
89425.2 1.9946
89455.2 1.8748
89485.2 1.7702
89515.3 1.678
89545.3 1.5964
89575.3 1.5235
89605.3 1.4582
89645.4 1.3811
89685.4 1.3134
89725.4 1.2536
89773.4 1.1907
89821.5 1.1354
89863.5 1.0923
89927.6 1.0347
89993.6 0.98356
90061.1 0.93824
90128.7 0.89867
90213.8 0.85549
90293.8 0.82031
90373.9 0.78943
90453.9 0.76213
90574 0.7266
90694.1 0.69631
90814.2 0.67014
90974.3 0.64034
91134.4 0.61503
91334.6 0.58832
91534.7 0.56567
91774.9 0.54272
92055.1 0.52029
92375.3 0.49885
92735.6 0.47867
93135.9 0.45985
93616.2 0.44076
94176.6 0.42197
94817.1 0.4038
95617.6 0.38421
96578.3 0.36397
97779.2 0.34169
99700.6 0.30945
100141 0.30301
100229 0.30243
100282 0.30304
100306 0.30434
100324 0.30673
100332 0.30935
100338 0.31236
100341 0.31593
100344 0.32027
100345 0.32445
100347 0.33012
100349 0.33784
100350 0.34536
100351 0.35473
100353 0.36635
100354 0.38062
100355 0.39797
100356 0.41149
100357 0.42669
100358 0.44372
100359 0.46878
100360 0.49501
100361 0.52428
100362 0.55675
100363 0.59231
100364 0.63767
100365 0.67964
100367 0.74719
100369 0.82716
100372 0.99118
100374 1.0761
100376 1.1388
100377 1.1836
100378 1.2123
100379 1.232
100380 1.2465
100382 1.253
100382 1.2532
100383 1.2498
100384 1.2395
100385 1.2171
100386 1.1912
100387 1.1565
100388 1.1194
100390 1.0639
100391 1.0022
100396 0.76535
100398 0.69224
100399 0.63198
100400 0.58364
100401 0.55042
100402 0.51992
100403 0.4921
100404 0.46184
100405 0.44227
100406 0.42461
100407 0.4088
100408 0.39468
100409 0.37647
100410 0.36144
100412 0.34885
100413 0.33873
100414 0.33065
100416 0.32426
100417 0.3178
100419 0.31276
100422 0.30791
100425 0.30504
100430 0.3023
100439 0.3003
100454 0.29883
100496 0.29768
100557 0.29737
100635 0.29779
100724 0.2998
100791 0.30338
100834 0.30737
100865 0.31157
100895 0.31747
100923 0.32497
100942 0.33159
100961 0.33999
100977 0.34939
100991 0.35956
101006 0.37218
101016 0.38371
101027 0.3975
101038 0.41389
101046 0.42844
101054 0.44537
101062 0.46523
