E sigma std
20.9686 1418.6 61.499
20.9752 1279.4 55.696
20.9817 1148.4 50.232
20.9867 1056.1 46.381
20.992 962.04 42.46
20.9961 894.11 39.627
21.0002 830.04 36.955
21.0043 769.82 34.444
21.0084 713.43 32.093
21.0125 660.79 29.897
21.0166 611.81 27.855
21.0207 566.36 25.96
21.0248 524.32 24.206
21.0289 485.52 22.588
21.033 449.82 21.1
21.0371 417.03 19.732
21.0413 386.99 18.48
21.0454 359.52 17.334
21.0495 334.44 16.288
21.0536 311.58 15.335
21.0576 291.27 14.488
21.0615 273.2 13.734
21.0654 256.71 13.047
21.0693 241.66 12.419
21.0732 227.94 11.847
21.0771 215.42 11.325
21.081 204 10.848
21.0849 193.59 10.414
21.0887 184.08 10.017
21.0926 175.39 9.6552
21.0965 167.44 9.3239
21.1024 156.77 8.8787
21.1082 147.38 8.4874
21.1141 139.11 8.1423
21.1206 131.06 7.8066
21.1257 125.37 7.5693
21.1308 120.21 7.3542
21.1385 113.33 7.0672
21.1462 107.3 6.816
21.1539 101.99 6.5942
21.1616 97.253 6.3968
21.1693 93.009 6.2198
21.1795 87.98 6.0101
21.1898 83.545 5.8251
21.2001 79.596 5.6605
21.2103 76.053 5.5127
21.2206 72.853 5.3793
21.236 68.59 5.2015
21.2514 64.86 5.046
21.2667 61.567 4.9086
21.2821 58.639 4.7865
21.2965 56.184 4.6842
21.318 52.923 4.5482
21.3396 50.083 4.4297
21.3611 47.587 4.3256
21.3827 45.377 4.2335
21.4073 43.144 4.1404
21.4278 41.484 4.0711
21.4586 39.28 3.9792
21.4894 37.361 3.8992
21.5139 36.018 3.8432
21.5201 35.676 3.8289
21.5509 34.185 3.7667
21.5817 32.858 3.7114
21.6227 31.3 3.6464
21.6638 29.941 3.5898
21.7048 28.748 3.54
21.7499 27.592 3.4918
21.7992 26.486 3.4457
21.8484 25.513 3.4051
21.8977 24.652 3.3692
21.961 23.68 3.3287
22.0383 22.658 3.2861
22.1156 21.783 3.2496
22.1929 21.025 3.218
22.2708 20.358 3.1901
22.3492 19.767 3.1655
22.4668 19.001 3.1335
22.5823 18.362 3.1069
22.6934 17.83 3.0847
22.8415 17.221 3.0593
23.0018 16.663 3.036
23.1677 16.171 3.0155
23.2366 15.999 3.0084
23.3927 15.61 2.9921
23.6177 15.14 2.9725
23.899 14.648 2.952
24.2401 14.154 2.9314
24.5909 13.73 2.9137
25.0127 13.299 2.8957
25.2742 13.071 2.8862
25.4857 12.887 2.8786
26.1171 12.413 2.8588
27.0522 11.803 2.8334
27.6845 11.422 2.8175
29.0851 10.575 2.7822
29.9012 10.04 2.7598
29.9116 10.033 2.7596
30.5461 9.5707 2.9089
30.977 9.2243 2.8862
31.4141 8.8382 2.861
31.7465 8.5163 2.84
32.082 8.1604 2.8167
32.4207 7.7642 2.7908
32.6485 7.4733 2.7718
32.878 7.1576 2.7512
33.1092 6.8138 2.7287
33.2148 6.6434 2.7176
33.3419 6.4384 2.7042
33.5177 6.1337 2.6842
33.6935 5.8087 2.663
33.8717 5.4574 2.64
34.05 5.0835 2.6156
34.2177 4.7113 2.5913
34.3646 4.3706 2.569
34.5358 3.9593 2.5421
34.7558 3.4243 2.5072
34.8448 3.2134 2.4934
34.9059 3.0739 2.4843
34.9513 2.9744 2.4778
