E sigma
175.665 4.5545
175.875 4.47
176.201 4.3657
176.575 4.2729
177.041 4.1815
177.601 4.0938
178.427 3.9895
179.518 3.8755
182.899 3.5729
183.958 3.4775
186.077 3.2679
187.795 3.075
188.941 2.9298
190.086 2.768
191.165 2.5974
191.975 2.4561
192.785 2.3019
193.595 2.134
194.405 1.9527
195.391 1.7177
196.162 1.532
196.52 1.4503
196.878 1.376
197.147 1.3283
197.326 1.3021
197.532 1.2792
197.707 1.2678
197.824 1.2651
197.985 1.2694
198.088 1.2779
198.191 1.2917
198.294 1.3115
198.397 1.3382
198.5 1.3729
198.603 1.4168
198.706 1.4712
198.796 1.5284
198.885 1.5961
198.975 1.6756
199.042 1.7441
199.109 1.8209
199.177 1.9071
199.244 2.0036
199.311 2.1115
199.378 2.2321
199.45 2.3764
199.504 2.4964
199.557 2.6275
199.611 2.7708
199.665 2.9274
199.719 3.0987
199.772 3.2861
199.826 3.4913
199.876 3.7004
199.923 3.9114
199.97 4.14
200.016 4.3878
200.063 4.6569
200.109 4.9492
200.156 5.267
200.203 5.613
200.246 5.9599
200.285 6.3034
200.324 6.6736
200.364 7.073
200.403 7.5043
200.443 7.9707
200.482 8.4757
200.522 9.0231
200.563 9.6458
200.606 10.356
200.649 11.137
200.692 11.996
200.728 12.779
200.771 13.809
200.814 14.951
200.857 16.222
200.885 17.15
200.914 18.15
200.952 19.614
200.981 20.831
201.013 22.271
201.046 23.927
201.075 25.508
201.103 27.236
201.135 29.382
201.16 31.163
201.187 33.337
201.215 35.796
201.244 38.591
201.268 41.193
201.288 43.498
201.307 45.986
201.327 48.676
201.348 51.801
201.371 55.44
201.393 59.435
201.416 63.827
201.438 68.659
201.46 73.981
201.483 79.848
201.505 86.318
201.527 93.182
201.548 100.43
201.569 108.36
201.59 117.05
201.61 126.55
201.631 136.93
201.652 148.27
201.673 160.64
201.693 173.41
201.711 186.48
201.73 200.55
201.749 215.68
201.768 231.91
201.786 249.29
201.805 267.88
201.824 287.7
201.848 315.37
201.871 342.88
201.893 372.29
201.916 403.62
201.946 448.36
201.967 481.38
201.993 525.86
202.033 596.88
202.072 669.07
202.13 784.29
202.213 951.19
202.267 1052.2
202.3 1110.3
202.333 1163
202.367 1209.1
202.395 1242.8
202.424 1270.3
202.457 1293.4
202.484 1305.6
202.513 1311.3
202.519 1311.6
202.544 1309.1
202.579 1296.5
202.613 1274.4
202.647 1243.3
202.677 1208.8
202.707 1168.5
202.75 1101.8
202.797 1021.4
202.86 903.97
202.943 746.79
202.993 656.66
203.027 599.82
203.06 546.15
203.089 502.67
203.118 461.95
203.146 424.06
203.175 389.02
203.204 356.78
203.227 332.63
203.255 306.39
203.282 282.46
203.31 260.69
203.337 240.95
203.365 223.09
203.392 206.95
203.42 192.4
203.443 181.28
203.471 169
203.499 157.96
203.527 148.03
203.555 139.08
203.583 131.02
203.611 123.74
203.64 117.15
203.668 111.17
203.696 105.73
203.733 99.216
203.765 94.346
203.796 89.917
203.838 84.605
203.879 79.876
203.921 75.64
203.963 71.826
204.004 68.375
204.046 65.238
204.094 61.965
204.148 58.637
204.202 55.647
204.256 52.946
204.31 50.495
204.365 48.261
204.446 45.261
204.5 43.462
204.583 40.963
204.667 38.741
204.75 36.756
204.833 34.972
204.917 33.361
205 31.899
205.125 29.948
205.219 28.646
205.323 27.337
205.427 26.154
205.583 24.58
205.74 23.207
205.896 22.001
206.052 20.933
206.208 19.983
206.365 19.132
206.521 18.365
206.729 17.456
206.927 16.694
207.115 16.047
207.396 15.193
207.677 14.453
207.958 13.807
208.24 13.238
208.542 12.699
208.75 12.365
209.167 11.77
209.583 11.259
210 10.815
210.458 10.39
210.917 10.019
211.375 9.6931
211.833 9.4039
212.455 9.0597
213.077 8.7612
214.009 8.3811
214.893 8.0798
216.038 7.7534
217.218 7.474
218.648 7.195
219.902 6.9881
221.655 6.7461
223.48 6.5366
226.011 6.2968
229.137 6.0557
233.16 5.7981
239.221 5.4453
241.797 5.2749
243.625 5.1255
245.055 4.9741
245.877 4.8628
246.575 4.7455
247.099 4.6375
247.644 4.4985
248.116 4.3455
248.424 4.2226
248.732 4.0743
248.969 3.9376
249.169 3.8013
249.369 3.6407
249.523 3.4968
249.677 3.3315
249.78 3.2088
250.011 2.9164
250.088 2.8359
250.139 2.8001
250.184 2.7884
250.223 2.7991
250.254 2.8272
250.278 2.8626
250.302 2.9125
250.326 2.9792
250.35 3.0653
250.374 3.1736
250.398 3.3071
250.422 3.4691
250.438 3.5946
250.456 3.7571
250.476 3.9663
250.497 4.2053
250.517 4.4768
250.538 4.7832
250.558 5.127
250.579 5.5106
250.6 5.9364
250.62 6.4066
250.641 6.9233
250.661 7.4883
250.682 8.1033
250.702 8.7694
250.723 9.4877
250.743 10.259
250.764 11.082
250.786 12.049
250.811 13.173
250.835 14.317
250.869 16.064
250.903 17.922
250.946 20.428
251.07 27.92
251.118 30.673
251.162 33.037
251.201 34.91
251.241 36.517
251.269 37.471
251.305 38.455
251.33 38.969
251.359 39.365
251.385 39.553
251.399 39.586
251.428 39.51
251.458 39.233
251.491 38.701
251.523 37.952
251.556 37.008
251.589 35.895
251.63 34.307
251.671 32.555
251.763 28.359
