E	sigma
10.31	6270.39
10.32	6305.81
10.33	6341.58
10.34	6377.67
10.35	6414.06
10.36	6450.71
10.37	6487.6
10.38	6524.69
10.39	6561.95
10.4	6599.35
10.41	6636.84
10.42	6674.39
10.43	6711.94
10.44	6749.47
10.45	6786.93
10.46	6824.26
10.47	6861.42
10.48	6898.36
10.49	6935.03
10.5	6971.37
10.51	7007.34
10.52	7042.88
10.53	7077.93
10.54	7112.45
10.55	7146.38
10.56	7179.65
10.57	7212.23
10.58	7244.06
10.59	7275.08
10.6	7305.25
10.61	7334.51
10.62	7362.82
10.63	7390.13
10.64	7416.4
10.65	7441.58
10.66	7465.65
10.67	7488.55
10.68	7510.27
10.69	7530.76
10.7	7550.01
10.71	7567.98
10.72	7584.66
10.73	7600.04
10.74	7614.09
10.75	7626.81
10.76	7638.2
10.77	7648.24
10.78	7656.95
10.79	7664.32
10.8	7670.37
10.81	7675.11
10.82	7678.54
10.83	7680.69
10.84	7681.57
10.85	7681.21
10.86	7679.64
10.87	7676.87
10.88	7672.95
10.89	7667.9
10.9	7661.75
10.91	7654.53
10.92	7646.29
10.93	7637.07
10.94	7626.88
10.95	7615.79
10.96	7603.82
10.97	7591.01
10.98	7577.41
10.99	7563.05
11	7547.97
11.01	7532.21
11.02	7515.81
11.03	7498.82
11.04	7481.25
11.05	7463.16
11.06	7444.58
11.07	7425.55
11.08	7406.09
11.09	7386.25
11.1	7366.05
11.11	7345.54
11.12	7324.73
11.13	7303.65
11.14	7282.35
11.15	7260.83
11.16	7239.14
11.17	7217.29
11.18	7195.31
11.19	7173.22
11.2	7151.05
11.21	7128.81
11.22	7106.52
11.23	7084.2
11.24	7061.87
11.25	7039.55
11.26	7017.25
11.27	6994.99
11.28	6972.77
11.29	6950.62
11.3	6928.54
11.31	6906.55
11.32	6884.66
11.33	6862.87
11.34	6841.2
11.35	6819.65
11.36	6798.23
11.37	6776.95
11.38	6755.82
11.39	6734.83
11.4	6714.01
11.41	6693.34
11.42	6672.84
11.43	6652.5
11.44	6632.34
11.45	6612.36
11.46	6592.56
11.47	6572.93
11.48	6553.49
11.49	6534.23
11.5	6515.16
11.51	6496.28
11.52	6477.58
11.53	6459.07
11.54	6440.75
11.55	6422.63
11.56	6404.68
11.57	6386.93
11.58	6369.37
11.59	6351.99
11.6	6334.81
11.61	6317.8
11.62	6300.99
11.63	6284.35
11.64	6267.9
11.65	6251.64
11.66	6235.55
11.67	6219.64
11.68	6203.91
11.69	6188.35
11.7	6172.97
11.71	6157.76
11.72	6142.72
11.73	6127.86
11.74	6113.15
11.75	6098.62
11.76	6084.24
11.77	6070.03
11.78	6055.98
11.79	6042.08
11.8	6028.34
11.81	6014.75
11.82	6001.32
11.83	5988.03
11.84	5974.9
11.85	5961.9
11.86	5949.05
11.87	5936.35
11.88	5923.78
11.89	5911.35
11.9	5899.05
11.91	5886.89
11.92	5874.86
11.93	5862.97
11.94	5851.19
11.95	5839.55
11.96	5828.03
11.97	5816.63
11.98	5805.35
11.99	5794.19
12	5783.15
12.01	5772.22
12.02	5761.4
12.03	5750.7
12.04	5740.11
12.05	5729.62
12.06	5719.24
12.07	5708.97
12.08	5698.8
12.09	5688.73
12.1	5678.76
12.11	5668.89
12.12	5659.11
12.13	5649.43
12.14	5639.85
12.15	5630.36
12.16	5620.95
12.17	5611.64
12.18	5602.41
12.19	5593.28
12.2	5584.22
12.21	5575.25
12.22	5566.37
12.23	5557.56
12.24	5548.84
12.25	5540.19
12.26	5531.62
12.27	5523.12
12.28	5514.71
12.29	5506.36
12.3	5498.09
12.31	5489.89
12.32	5481.76
12.33	5473.7
12.34	5465.7
12.35	5457.78
12.36	5449.92
12.37	5442.12
12.38	5434.39
12.39	5426.72
12.4	5419.12
12.41	5411.57
12.42	5404.08
12.43	5396.66
12.44	5389.29
12.45	5381.98
12.46	5374.72
12.47	5367.52
12.48	5360.38
12.49	5353.29
12.5	5346.25
12.51	5339.27
12.52	5332.33
12.53	5325.45
12.54	5318.61
12.55	5311.83
12.56	5305.09
12.57	5298.4
12.58	5291.76
12.59	5285.16
12.6	5278.61
12.61	5272.1
12.62	5265.64
12.63	5259.22
12.64	5252.84
12.65	5246.51
12.66	5240.21
12.67	5233.96
12.68	5227.75
12.69	5221.57
12.7	5215.44
12.71	5209.34
12.72	5203.28
12.73	5197.26
12.74	5191.28
12.75	5185.33
12.76	5179.42
12.77	5173.54
12.78	5167.7
12.79	5161.89
12.8	5156.11
12.81	5150.37
12.82	5144.66
12.83	5138.98
12.84	5133.34
12.85	5127.72
12.86	5122.14
12.87	5116.58
12.88	5111.06
12.89	5105.57
12.9	5100.1
12.91	5094.66
12.92	5089.25
12.93	5083.87
12.94	5078.52
12.95	5073.19
12.96	5067.89
12.97	5062.62
12.98	5057.37
12.99	5052.15
13	5046.95
13.01	5041.78
13.02	5036.64
13.03	5031.51
13.04	5026.41
13.05	5021.34
13.06	5016.28
13.07	5011.25
13.08	5006.25
13.09	5001.26
13.1	4996.3
13.11	4991.36
13.12	4986.44
13.13	4981.54
13.14	4976.66
13.15	4971.8
13.16	4966.96
13.17	4962.14
13.18	4957.35
13.19	4952.57
13.2	4947.81
13.21	4943.07
13.22	4938.34
13.23	4933.64
13.24	4928.96
13.25	4924.29
13.26	4919.64
13.27	4915.01
13.28	4910.39
13.29	4905.79
13.3	4901.21
13.31	4896.65
13.32	4892.1
13.33	4887.57
13.34	4883.05
13.35	4878.55
13.36	4874.07
13.37	4869.6
13.38	4865.14
13.39	4860.7
13.4	4856.28
13.41	4851.87
13.42	4847.48
13.43	4843.09
13.44	4838.73
13.45	4834.38
13.46	4830.04
13.47	4825.71
13.48	4821.4
13.49	4817.1
13.5	4812.81
13.51	4808.54
13.52	4804.28
13.53	4800.03
13.54	4795.8
13.55	4791.58
13.56	4787.37
13.57	4783.17
13.58	4778.98
13.59	4774.81
13.6	4770.65
13.61	4766.49
13.62	4762.36
13.63	4758.23
13.64	4754.11
13.65	4750
13.66	4745.91
13.67	4741.82
13.68	4737.75
13.69	4733.68
13.7	4729.63
13.71	4725.59
13.72	4721.56
13.73	4717.53
13.74	4713.52
13.75	4709.52
13.76	4705.52
13.77	4701.54
13.78	4697.57
13.79	4693.6
13.8	4689.65
13.81	4685.7
13.82	4681.76
13.83	4677.84
13.84	4673.92
13.85	4670.01
13.86	4666.11
13.87	4662.22
13.88	4658.33
13.89	4654.46
13.9	4650.59
13.91	4646.73
13.92	4642.88
13.93	4639.04
13.94	4635.21
13.95	4631.38
13.96	4627.56
13.97	4623.75
13.98	4619.95
13.99	4616.16
14	4612.37
14.01	4608.59
14.02	4604.82
14.03	4601.05
14.04	4597.3
14.05	4593.55
14.06	4589.81
14.07	4586.07
14.08	4582.34
14.09	4578.62
14.1	4574.91
14.11	4571.2
14.12	4567.5
14.13	4563.81
14.14	4560.12
14.15	4556.45
14.16	4552.77
14.17	4549.11
14.18	4545.45
14.19	4541.79
14.2	4538.15
14.21	4534.51
14.22	4530.87
14.23	4527.25
14.24	4523.63
14.25	4520.01
14.26	4516.4
14.27	4512.8
14.28	4509.2
14.29	4505.61
14.3	4502.03
14.31	4498.45
14.32	4494.88
14.33	4491.31
14.34	4487.75
14.35	4484.2
14.36	4480.65
14.37	4477.11
14.38	4473.57
14.39	4470.04
14.4	4466.51
14.41	4462.99
14.42	4459.48
14.43	4455.97
14.44	4452.46
14.45	4448.96
14.46	4445.47
14.47	4441.98
14.48	4438.5
14.49	4435.03
14.5	4431.55
14.51	4428.09
14.52	4424.63
14.53	4421.17
14.54	4417.72
14.55	4414.28
14.56	4410.84
14.57	4407.4
14.58	4403.97
14.59	4400.55
14.6	4397.13
14.61	4393.72
14.62	4390.31
14.63	4386.9
14.64	4383.51
14.65	4380.11
14.66	4376.72
14.67	4373.34
14.68	4369.96
14.69	4366.59
14.7	4363.22
14.71	4359.85
14.72	4356.49
14.73	4353.14
14.74	4349.79
14.75	4346.45
14.76	4343.11
14.77	4339.77
14.78	4336.44
14.79	4333.12
14.8	4329.79
14.81	4326.48
14.82	4323.17
14.83	4319.86
14.84	4316.56
14.85	4313.26
14.86	4309.97
14.87	4306.69
14.88	4303.4
14.89	4300.13
14.9	4296.85
14.91	4293.58
14.92	4290.32
14.93	4287.06
14.94	4283.81
14.95	4280.56
14.96	4277.31
14.97	4274.07
14.98	4270.84
14.99	4267.61
15	4264.38
15.01	4261.16
15.02	4257.95
15.03	4254.73
15.04	4251.53
15.05	4248.32
15.06	4245.13
15.07	4241.93
15.08	4238.74
15.09	4235.56
15.1	4232.38
15.11	4229.21
15.12	4226.04
15.13	4222.87
15.14	4219.71
15.15	4216.56
15.16	4213.41
15.17	4210.26
15.18	4207.12
15.19	4203.98
15.2	4200.85
15.21	4197.73
15.22	4194.6
15.23	4191.49
15.24	4188.37
15.25	4185.26
15.26	4182.16
15.27	4179.06
15.28	4175.97
15.29	4172.88
15.3	4169.8
15.31	4166.72
15.32	4163.64
15.33	4160.57
15.34	4157.51
15.35	4154.45
15.36	4151.4
15.37	4148.35
15.38	4145.3
15.39	4142.26
15.4	4139.22
15.41	4136.19
15.42	4133.17
15.43	4130.15
15.44	4127.13
15.45	4124.12
15.46	4121.12
15.47	4118.12
15.48	4115.12
15.49	4112.13
15.5	4109.15
15.51	4106.17
15.52	4103.19
15.53	4100.22
15.54	4097.26
15.55	4094.3
15.56	4091.34
15.57	4088.4
15.58	4085.45
