E	sigma
10.88	5675.31
10.89	5667.2
10.9	5659.29
10.91	5651.56
10.92	5644.01
10.93	5636.61
10.94	5629.37
10.95	5622.28
10.96	5615.33
10.97	5608.52
10.98	5601.83
10.99	5595.27
11	5588.82
11.01	5582.49
11.02	5576.26
11.03	5570.13
11.04	5564.11
11.05	5558.17
11.06	5552.33
11.07	5546.57
11.08	5540.9
11.09	5535.31
11.1	5529.79
11.11	5524.34
11.12	5518.97
11.13	5513.67
11.14	5508.43
11.15	5503.26
11.16	5498.15
11.17	5493.09
11.18	5488.1
11.19	5483.16
11.2	5478.27
11.21	5473.44
11.22	5468.65
11.23	5463.92
11.24	5459.23
11.25	5454.59
11.26	5449.99
11.27	5445.44
11.28	5440.93
11.29	5436.46
11.3	5432.03
11.31	5427.64
11.32	5423.28
11.33	5418.97
11.34	5414.69
11.35	5410.45
11.36	5406.24
11.37	5402.06
11.38	5397.92
11.39	5393.81
11.4	5389.73
11.41	5385.68
11.42	5381.67
11.43	5377.68
11.44	5373.72
11.45	5369.79
11.46	5365.89
11.47	5362.02
11.48	5358.18
11.49	5354.36
11.5	5350.57
11.51	5346.8
11.52	5343.06
11.53	5339.35
11.54	5335.66
11.55	5332
11.56	5328.36
11.57	5324.74
11.58	5321.15
11.59	5317.59
11.6	5314.04
11.61	5310.52
11.62	5307.02
11.63	5303.55
11.64	5300.09
11.65	5296.66
11.66	5293.26
11.67	5289.87
11.68	5286.5
11.69	5283.16
11.7	5279.84
11.71	5276.54
11.72	5273.26
11.73	5270
11.74	5266.76
11.75	5263.54
11.76	5260.35
11.77	5257.17
11.78	5254.01
11.79	5250.88
11.8	5247.76
11.81	5244.66
11.82	5241.59
11.83	5238.53
11.84	5235.49
11.85	5232.48
11.86	5229.48
11.87	5226.5
11.88	5223.54
11.89	5220.6
11.9	5217.68
11.91	5214.78
11.92	5211.9
11.93	5209.03
11.94	5206.19
11.95	5203.36
11.96	5200.56
11.97	5197.77
11.98	5195
11.99	5192.25
12	5189.52
12.01	5186.8
12.02	5184.11
12.03	5181.43
12.04	5178.77
12.05	5176.13
12.06	5173.51
12.07	5170.91
12.08	5168.32
12.09	5165.76
12.1	5163.21
12.11	5160.68
12.12	5158.17
12.13	5155.67
12.14	5153.2
12.15	5150.74
12.16	5148.3
12.17	5145.88
12.18	5143.48
12.19	5141.09
12.2	5138.72
12.21	5136.37
12.22	5134.04
12.23	5131.73
12.24	5129.43
12.25	5127.15
12.26	5124.89
12.27	5122.65
12.28	5120.42
12.29	5118.21
12.3	5116.02
12.31	5113.85
12.32	5111.69
12.33	5109.55
12.34	5107.43
12.35	5105.33
12.36	5103.25
12.37	5101.18
12.38	5099.13
12.39	5097.09
12.4	5095.08
12.41	5093.08
12.42	5091.1
12.43	5089.13
12.44	5087.19
12.45	5085.26
12.46	5083.34
12.47	5081.45
12.48	5079.57
12.49	5077.71
12.5	5075.87
12.51	5074.04
12.52	5072.23
12.53	5070.44
12.54	5068.66
12.55	5066.9
12.56	5065.16
12.57	5063.43
12.58	5061.72
12.59	5060.03
12.6	5058.36
12.61	5056.7
12.62	5055.06
12.63	5053.43
12.64	5051.83
12.65	5050.23
12.66	5048.66
12.67	5047.1
12.68	5045.56
12.69	5044.03
12.7	5042.53
12.71	5041.03
12.72	5039.56
12.73	5038.1
12.74	5036.66
12.75	5035.23
12.76	5033.82
12.77	5032.42
12.78	5031.05
12.79	5029.68
12.8	5028.34
12.81	5027.01
12.82	5025.7
12.83	5024.4
12.84	5023.12
12.85	5021.85
12.86	5020.6
12.87	5019.37
12.88	5018.15
12.89	5016.95
12.9	5015.77
12.91	5014.6
12.92	5013.44
12.93	5012.3
12.94	5011.18
12.95	5010.07
12.96	5008.98
12.97	5007.91
12.98	5006.84
12.99	5005.8
13	5004.77
13.01	5003.76
13.02	5002.76
13.03	5001.77
13.04	5000.81
13.05	4999.85
13.06	4998.91
13.07	4997.99
13.08	4997.09
13.09	4996.19
13.1	4995.32
13.11	4994.45
13.12	4993.61
13.13	4992.77
13.14	4991.96
13.15	4991.15
13.16	4990.37
13.17	4989.59
13.18	4988.84
13.19	4988.09
13.2	4987.36
13.21	4986.65
13.22	4985.95
13.23	4985.27
13.24	4984.6
13.25	4983.94
13.26	4983.3
13.27	4982.67
13.28	4982.06
13.29	4981.46
13.3	4980.87
13.31	4980.3
13.32	4979.75
13.33	4979.21
13.34	4978.68
13.35	4978.17
13.36	4977.67
13.37	4977.18
13.38	4976.71
13.39	4976.25
13.4	4975.81
13.41	4975.38
13.42	4974.96
13.43	4974.56
13.44	4974.17
13.45	4973.79
13.46	4973.43
13.47	4973.08
13.48	4972.75
13.49	4972.42
13.5	4972.12
13.51	4971.82
13.52	4971.54
13.53	4971.27
13.54	4971.02
13.55	4970.78
13.56	4970.55
13.57	4970.33
13.58	4970.13
13.59	4969.94
13.6	4969.76
13.61	4969.6
13.62	4969.45
13.63	4969.31
13.64	4969.19
13.65	4969.07
13.66	4968.97
13.67	4968.89
13.68	4968.81
13.69	4968.75
13.7	4968.7
13.71	4968.66
13.72	4968.64
13.73	4968.63
13.74	4968.63
13.75	4968.64
13.76	4968.67
13.77	4968.7
13.78	4968.75
13.79	4968.81
13.8	4968.89
13.81	4968.97
13.82	4969.07
13.83	4969.18
13.84	4969.3
13.85	4969.44
13.86	4969.58
13.87	4969.74
13.88	4969.91
13.89	4970.09
13.9	4970.28
13.91	4970.49
13.92	4970.7
13.93	4970.93
13.94	4971.17
13.95	4971.42
13.96	4971.68
13.97	4971.95
13.98	4972.24
13.99	4972.53
14	4972.84
14.01	4973.16
14.02	4973.49
14.03	4973.83
14.04	4974.18
14.05	4974.54
14.06	4974.92
14.07	4975.3
14.08	4975.7
14.09	4976.1
14.1	4976.52
14.11	4976.95
14.12	4977.39
14.13	4977.84
14.14	4978.3
14.15	4978.77
14.16	4979.25
14.17	4979.74
14.18	4980.24
14.19	4980.76
14.2	4981.28
14.21	4981.81
14.22	4982.36
14.23	4982.91
14.24	4983.48
14.25	4984.05
14.26	4984.64
14.27	4985.24
14.28	4985.84
14.29	4986.46
14.3	4987.08
14.31	4987.72
14.32	4988.37
14.33	4989.02
14.34	4989.69
14.35	4990.37
14.36	4991.05
14.37	4991.75
14.38	4992.45
14.39	4993.17
14.4	4993.89
14.41	4994.63
