E	sigma
13.08	1920.57
13.09	1918.26
13.1	1915.97
13.11	1913.68
13.12	1911.41
13.13	1909.15
13.14	1906.89
13.15	1904.65
13.16	1902.42
13.17	1900.2
13.18	1897.99
13.19	1895.79
13.2	1893.61
13.21	1891.43
13.22	1889.26
13.23	1887.1
13.24	1884.96
13.25	1882.82
13.26	1880.7
13.27	1878.58
13.28	1876.48
13.29	1874.38
13.3	1872.3
13.31	1870.23
13.32	1868.16
13.33	1866.11
13.34	1864.07
13.35	1862.04
13.36	1860.01
13.37	1858
13.38	1856
13.39	1854.01
13.4	1852.03
13.41	1850.06
13.42	1848.09
13.43	1846.14
13.44	1844.2
13.45	1842.27
13.46	1840.35
13.47	1838.44
13.48	1836.54
13.49	1834.64
13.5	1832.76
13.51	1830.89
13.52	1829.03
13.53	1827.18
13.54	1825.33
13.55	1823.5
13.56	1821.68
13.57	1819.86
13.58	1818.06
13.59	1816.27
13.6	1814.48
13.61	1812.71
13.62	1810.94
13.63	1809.19
13.64	1807.44
13.65	1805.71
13.66	1803.98
13.67	1802.27
13.68	1800.56
13.69	1798.86
13.7	1797.17
13.71	1795.49
13.72	1793.82
13.73	1792.16
13.74	1790.51
13.75	1788.87
13.76	1787.24
13.77	1785.62
13.78	1784.01
13.79	1782.4
13.8	1780.81
13.81	1779.22
13.82	1777.65
13.83	1776.08
13.84	1774.52
13.85	1772.98
13.86	1771.44
13.87	1769.91
13.88	1768.39
13.89	1766.88
13.9	1765.37
13.91	1763.88
13.92	1762.4
13.93	1760.92
13.94	1759.46
13.95	1758
13.96	1756.55
13.97	1755.11
13.98	1753.68
13.99	1752.26
14	1750.85
14.01	1749.45
14.02	1748.06
14.03	1746.67
14.04	1745.3
14.05	1743.93
14.06	1742.57
14.07	1741.22
14.08	1739.88
14.09	1738.55
14.1	1737.23
14.11	1735.91
14.12	1734.61
14.13	1733.31
14.14	1732.02
14.15	1730.75
14.16	1729.48
14.17	1728.21
14.18	1726.96
14.19	1725.72
14.2	1724.48
14.21	1723.26
14.22	1722.04
14.23	1720.83
14.24	1719.63
14.25	1718.44
14.26	1717.25
14.27	1716.08
14.28	1714.91
14.29	1713.76
14.3	1712.61
14.31	1711.47
14.32	1710.33
14.33	1709.21
14.34	1708.09
14.35	1706.99
14.36	1705.89
14.37	1704.8
14.38	1703.72
14.39	1702.65
14.4	1701.58
14.41	1700.53
14.42	1699.48
14.43	1698.44
14.44	1697.41
14.45	1696.39
14.46	1695.37
14.47	1694.36
14.48	1693.37
14.49	1692.38
14.5	1691.4
14.51	1690.42
14.52	1689.46
14.53	1688.5
14.54	1687.55
14.55	1686.61
14.56	1685.68
14.57	1684.76
14.58	1683.84
14.59	1682.94
14.6	1682.04
14.61	1681.15
14.62	1680.26
14.63	1679.39
14.64	1678.52
14.65	1677.66
14.66	1676.81
14.67	1675.97
14.68	1675.14
14.69	1674.31
14.7	1673.49
14.71	1672.68
14.72	1671.88
14.73	1671.08
14.74	1670.3
14.75	1669.52
14.76	1668.75
14.77	1667.99
14.78	1667.23
14.79	1666.48
14.8	1665.75
14.81	1665.02
14.82	1664.29
14.83	1663.58
14.84	1662.87
14.85	1662.17
14.86	1661.48
14.87	1660.79
14.88	1660.12
14.89	1659.45
14.9	1658.79
14.91	1658.14
14.92	1657.49
14.93	1656.85
