E	sigma
6.73	3675.8
6.74	3673.25
6.75	3670.69
6.76	3668.12
6.77	3665.55
6.78	3662.97
6.79	3660.39
6.8	3657.79
6.81	3655.19
6.82	3652.59
6.83	3649.97
6.84	3647.35
6.85	3644.73
6.86	3642.09
6.87	3639.45
6.88	3636.8
6.89	3634.15
6.9	3631.49
6.91	3628.82
6.92	3626.15
6.93	3623.47
6.94	3620.78
6.95	3618.09
6.96	3615.39
6.97	3612.69
6.98	3609.98
6.99	3607.26
7	3604.53
7.01	3601.8
7.02	3599.07
7.03	3596.33
7.04	3593.58
7.05	3590.82
7.06	3588.06
7.07	3585.3
7.08	3582.52
7.09	3579.75
7.1	3576.96
7.11	3574.17
7.12	3571.38
7.13	3568.57
7.14	3565.77
7.15	3562.96
7.16	3560.14
7.17	3557.31
7.18	3554.48
7.19	3551.65
7.2	3548.81
7.21	3545.96
7.22	3543.11
7.23	3540.26
7.24	3537.4
7.25	3534.53
7.26	3531.66
7.27	3528.78
7.28	3525.9
7.29	3523.01
7.3	3520.12
7.31	3517.22
7.32	3514.32
7.33	3511.41
7.34	3508.5
7.35	3505.58
7.36	3502.66
7.37	3499.73
7.38	3496.8
7.39	3493.87
7.4	3490.93
7.41	3487.98
7.42	3485.03
7.43	3482.08
7.44	3479.12
7.45	3476.16
7.46	3473.19
7.47	3470.22
7.48	3467.24
7.49	3464.26
7.5	3461.28
7.51	3458.29
7.52	3455.3
7.53	3452.3
7.54	3449.3
7.55	3446.3
7.56	3443.29
7.57	3440.28
7.58	3437.26
7.59	3434.24
7.6	3431.22
7.61	3428.19
7.62	3425.16
7.63	3422.12
7.64	3419.09
7.65	3416.04
7.66	3413
7.67	3409.95
7.68	3406.9
7.69	3403.84
7.7	3400.78
7.71	3397.72
7.72	3394.66
7.73	3391.59
7.74	3388.52
7.75	3385.44
7.76	3382.37
7.77	3379.29
7.78	3376.2
7.79	3373.12
7.8	3370.03
7.81	3366.93
7.82	3363.84
7.83	3360.74
7.84	3357.64
7.85	3354.54
7.86	3351.43
7.87	3348.33
7.88	3345.22
7.89	3342.1
7.9	3338.99
7.91	3335.87
7.92	3332.75
7.93	3329.63
7.94	3326.51
7.95	3323.38
7.96	3320.25
7.97	3317.12
7.98	3313.99
7.99	3310.85
8	3307.72
8.01	3304.58
8.02	3301.44
8.03	3298.3
8.04	3295.15
8.05	3292.01
8.06	3288.86
8.07	3285.71
8.08	3282.56
8.09	3279.41
8.1	3276.26
8.11	3273.1
8.12	3269.95
8.13	3266.79
8.14	3263.63
8.15	3260.48
8.16	3257.31
8.17	3254.15
8.18	3250.99
8.19	3247.83
8.2	3244.66
8.21	3241.5
8.22	3238.33
8.23	3235.16
8.24	3232
8.25	3228.83
8.26	3225.66
8.27	3222.49
8.28	3219.32
8.29	3216.15
8.3	3212.98
8.31	3209.81
8.32	3206.63
8.33	3203.46
8.34	3200.29
8.35	3197.12
8.36	3193.95
8.37	3190.77
8.38	3187.6
8.39	3184.43
8.4	3181.25
8.41	3178.08
8.42	3174.91
8.43	3171.74
8.44	3168.57
8.45	3165.39
8.46	3162.22
8.47	3159.05
8.48	3155.88
8.49	3152.71
8.5	3149.54
8.51	3146.37
8.52	3143.21
8.53	3140.04
8.54	3136.87
8.55	3133.71
8.56	3130.54
8.57	3127.38
8.58	3124.22
8.59	3121.06
8.6	3117.9
8.61	3114.74
8.62	3111.58
8.63	3108.42
8.64	3105.27
8.65	3102.11
8.66	3098.96
8.67	3095.81
8.68	3092.66
8.69	3089.51
8.7	3086.37
8.71	3083.22
8.72	3080.08
8.73	3076.94
8.74	3073.8
8.75	3070.66
8.76	3067.53
8.77	3064.4
8.78	3061.27
8.79	3058.14
8.8	3055.01
8.81	3051.89
8.82	3048.77
8.83	3045.65
8.84	3042.53
8.85	3039.42
8.86	3036.3
8.87	3033.19
8.88	3030.09
8.89	3026.99
8.9	3023.88
8.91	3020.79
8.92	3017.69
8.93	3014.6
8.94	3011.51
8.95	3008.43
8.96	3005.34
8.97	3002.27
8.98	2999.19
8.99	2996.12
9	2993.05
9.01	2989.98
9.02	2986.92
9.03	2983.86
9.04	2980.81
9.05	2977.76
9.06	2974.71
9.07	2971.67
9.08	2968.63
9.09	2965.59
9.1	2962.56
9.11	2959.53
9.12	2956.51
9.13	2953.49
9.14	2950.48
9.15	2947.47
9.16	2944.46
9.17	2941.46
9.18	2938.47
9.19	2935.47
9.2	2932.49
9.21	2929.51
9.22	2926.53
9.23	2923.56
9.24	2920.59
9.25	2917.63
9.26	2914.67
9.27	2911.72
9.28	2908.77
9.29	2905.83
9.3	2902.89
9.31	2899.96
9.32	2897.04
9.33	2894.12
9.34	2891.21
9.35	2888.3
9.36	2885.4
9.37	2882.5
9.38	2879.61
9.39	2876.73
9.4	2873.85
9.41	2870.98
9.42	2868.11
9.43	2865.25
9.44	2862.4
9.45	2859.55
9.46	2856.71
9.47	2853.88
9.48	2851.05
9.49	2848.23
9.5	2845.42
9.51	2842.62
9.52	2839.82
9.53	2837.03
9.54	2834.24
9.55	2831.47
9.56	2828.7
9.57	2825.93
9.58	2823.18
9.59	2820.43
9.6	2817.69
9.61	2814.96
9.62	2812.24
9.63	2809.52
9.64	2806.81
9.65	2804.12
9.66	2801.42
9.67	2798.74
9.68	2796.07
9.69	2793.4
9.7	2790.74
9.71	2788.09
9.72	2785.45
9.73	2782.82
9.74	2780.2
9.75	2777.58
9.76	2774.98
9.77	2772.38
9.78	2769.79
9.79	2767.22
9.8	2764.65
9.81	2762.09
9.82	2759.54
9.83	2757
9.84	2754.47
9.85	2751.95
9.86	2749.44
9.87	2746.94
9.88	2744.45
9.89	2741.97
9.9	2739.5
9.91	2737.05
9.92	2734.6
9.93	2732.16
9.94	2729.73
9.95	2727.32
9.96	2724.91
9.97	2722.52
9.98	2720.13
9.99	2717.76
10	2715.4
10.01	2713.05
10.02	2710.71
10.03	2708.39
10.04	2706.07
10.05	2703.77
10.06	2701.48
10.07	2699.2
10.08	2696.93
10.09	2694.68
10.1	2692.44
10.11	2690.21
10.12	2687.99
10.13	2685.79
10.14	2683.59
10.15	2681.41
10.16	2679.25
10.17	2677.09
10.18	2674.95
10.19	2672.83
10.2	2670.71
10.21	2668.61
10.22	2666.53
10.23	2664.46
10.24	2662.4
10.25	2660.35
10.26	2658.32
10.27	2656.31
10.28	2654.3
10.29	2652.31
10.3	2650.34
10.31	2648.38
10.32	2646.44
10.33	2644.51
10.34	2642.6
10.35	2640.7
10.36	2638.81
10.37	2636.94
10.38	2635.09
10.39	2633.25
10.4	2631.43
10.41	2629.62
10.42	2627.83
10.43	2626.06
10.44	2624.3
10.45	2622.56
10.46	2620.83
10.47	2619.13
10.48	2617.43
10.49	2615.76
10.5	2614.1
10.51	2612.46
10.52	2610.83
10.53	2609.23
10.54	2607.64
10.55	2606.06
10.56	2604.51
10.57	2602.97
10.58	2601.45
10.59	2599.95
10.6	2598.47
10.61	2597
10.62	2595.56
10.63	2594.13
10.64	2592.72
10.65	2591.33
10.66	2589.96
10.67	2588.61
10.68	2587.27
10.69	2585.96
10.7	2584.67
10.71	2583.39
10.72	2582.14
10.73	2580.9
10.74	2579.69
10.75	2578.49
10.76	2577.32
10.77	2576.16
10.78	2575.03
10.79	2573.91
10.8	2572.82
10.81	2571.75
10.82	2570.7
10.83	2569.67
10.84	2568.66
10.85	2567.67
10.86	2566.71
10.87	2565.76
10.88	2564.84
10.89	2563.94
10.9	2563.06
10.91	2562.21
10.92	2561.37
10.93	2560.56
10.94	2559.77
10.95	2559.01
10.96	2558.26
10.97	2557.54
10.98	2556.85
10.99	2556.17
11	2555.52
11.01	2554.9
11.02	2554.29
11.03	2553.71
11.04	2553.16
11.05	2552.63
11.06	2552.12
11.07	2551.64
11.08	2551.18
11.09	2550.74
11.1	2550.33
11.11	2549.95
11.12	2549.59
11.13	2549.26
11.14	2548.95
11.15	2548.66
11.16	2548.4
11.17	2548.17
11.18	2547.96
11.19	2547.78
11.2	2547.62
11.21	2547.49
11.22	2547.39
11.23	2547.31
11.24	2547.26
11.25	2547.24
11.26	2547.24
11.27	2547.27
11.28	2547.32
11.29	2547.4
11.3	2547.51
11.31	2547.65
11.32	2547.81
11.33	2548
11.34	2548.22
11.35	2548.47
11.36	2548.74
11.37	2549.04
11.38	2549.37
11.39	2549.73
11.4	2550.11
11.41	2550.52
11.42	2550.97
11.43	2551.43
11.44	2551.93
11.45	2552.46
11.46	2553.01
11.47	2553.6
11.48	2554.21
11.49	2554.85
11.5	2555.52
11.51	2556.22
11.52	2556.95
11.53	2557.71
11.54	2558.49
11.55	2559.31
11.56	2560.15
11.57	2561.03
11.58	2561.93
11.59	2562.86
11.6	2563.83
11.61	2564.82
11.62	2565.84
11.63	2566.89
11.64	2567.97
11.65	2569.08
11.66	2570.23
11.67	2571.4
11.68	2572.6
11.69	2573.83
11.7	2575.09
11.71	2576.38
11.72	2577.7
11.73	2579.05
11.74	2580.43
11.75	2581.84
11.76	2583.28
11.77	2584.75
11.78	2586.25
11.79	2587.78
11.8	2589.34
11.81	2590.93
11.82	2592.55
11.83	2594.2
11.84	2595.88
11.85	2597.59
11.86	2599.33
11.87	2601.1
11.88	2602.9
11.89	2604.73
11.9	2606.58
11.91	2608.47
11.92	2610.39
11.93	2612.34
11.94	2614.31
11.95	2616.32
11.96	2618.36
11.97	2620.42
11.98	2622.52
11.99	2624.64
12	2626.79
12.01	2628.97
12.02	2631.18
12.03	2633.42
12.04	2635.69
12.05	2637.98
12.06	2640.31
12.07	2642.66
12.08	2645.04
12.09	2647.45
12.1	2649.88
12.11	2652.35
12.12	2654.84
12.13	2657.36
12.14	2659.9
12.15	2662.48
12.16	2665.08
12.17	2667.7
12.18	2670.36
12.19	2673.04
12.2	2675.74
12.21	2678.48
12.22	2681.23
12.23	2684.02
12.24	2686.83
12.25	2689.66
12.26	2692.52
12.27	2695.4
12.28	2698.31
12.29	2701.24
12.3	2704.2
12.31	2707.18
12.32	2710.18
12.33	2713.21
12.34	2716.26
12.35	2719.33
